011100133,1,4,5
011100133,1,0,4
011102000,1,0,4
011102001,1,0,4
011102002,1,0,4
011102003,1,0,4
011102010,1,0,4
011102011,1,0,4
011102012,1,0,4
011102013,1,0,4
011102020,1,0,4
011102021,1,0,4
011102022,1,0,4
011102023,1,0,4
011102033,1,0,4
011102100,1,0,4
011102101,1,0,4
011102102,1,0,4
011102103,1,0,4
011102110,1,0,4
011102111,1,0,4
011102112,1,0,4
011102113,1,0,4
011102120,1,0,4
011102121,1,0,4
011102122,1,0,4
011102123,1,0,4
011102133,1,0,4
011102200,1,0,4
011102201,1,0,4
011102202,1,0,4
011102202,2,4,7
011102203,1,0,4
011102210,1,0,4
011102211,1,0,4
011102212,1,0,4
011102213,1,0,4
011102220,1,0,4
011102220,2,4,8
011102221,1,0,4
011102223,1,0,4
011102233,1,0,4
011102333,1,0,4
011103333,1,0,4
011120022,2,5,6
011122002,2,6,7
011122020,2,6,8
011122200,2,7,8
011200111,1,4,5
011200220,2,4,5
011200221,2,4,5
011200222,2,4,5
011200222,2,4,5
011200223,2,4,5
011201101,1,4,7
011201110,1,4,8
011202202,2,4,7
011210011,1,5,6
011211001,1,6,7
011211010,1,6,8
011211100,1,7,8
011220020,2,5,6
011220021,2,5,6
011220022,2,5,6
011220022,2,5,6
011220023,2,5,6
011220200,2,5,7
011220201,2,5,7
011220202,2,5,7
011220203,2,5,7
011222000,2,6,7
011222001,2,6,7
011222002,2,6,7
011222002,2,6,7
011222003,2,6,7
012000111,1,4,5
012000222,2,4,5
012001101,1,4,7
012001112,1,3,4
012001113,1,3,4
012002200,2,3,4
012002201,2,3,4
012002202,2,3,4
012002202,2,4,7
012002203,2,3,4
012002210,2,3,4
012002211,2,3,4
012002212,2,3,4
012002213,2,3,4
012002220,2,3,4
012002220,2,3,4
012002220,2,4,8
012002221,2,3,4
012002221,2,3,4
012002223,2,3,4
012002223,2,3,4
012002233,2,3,4
012010011,1,5,6
012011001,1,6,7
012011012,1,3,6
012011013,1,3,6
012011102,1,3,7
012011103,1,3,7
012020022,2,5,6
012022002,2,6,7
012022021,2,3,6
012022023,2,3,6
012100110,1,4,5
012100111,1,4,5
012100111,1,4,5
012100112,1,4,5
012100113,1,4,5
012100222,2,4,5
012101101,1,4,7
012102202,2,4,7
012102220,2,4,8
012110010,1,5,6
012110011,1,5,6
012110011,1,5,6
012110012,1,5,6
012110013,1,5,6
012110100,1,5,7
012110101,1,5,7
012110102,1,5,7
012110103,1,5,7
012111000,1,6,7
012111001,1,6,7
012111001,1,6,7
012111002,1,6,7
012111003,1,6,7
012120022,2,5,6
012122002,2,6,7
012122020,2,6,8
012122200,2,7,8
012200111,1,4,5
012200200,2,4,5
012200201,2,4,5
012200202,2,4,5
012200203,2,4,5
